Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
GDP per capita (current US$),NY.GDP.PCAP.CD,Kyrgyz Republic,KGZ,279.6202749923,308.4090313867,321.7265380451,380.5073624355,433.2351189352,476.5518916926,543.1107024031,721.7686908389,966.3936271854,871.2243893379,880.0377751191,1123.8831680627,1177.9747348785
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,583.0948591807,589.1651390871,648.2987607377,790.891217296,892.5257390633,914.549607434,964.5995857978,1069.856896612,1190.2129710653,1163.0126398898,1145.3690419962,1256.7106117548,1219.9311609386
GDP per capita (current US$),NY.GDP.PCAP.CD,Pakistan,PAK,514.1579604788,492.3816981037,483.0318719141,546.1541483579,631.4978143069,693.1766896618,853.0709658972,929.5874437414,1018.3807337415,988.5873474174,1024.5888858191,1213.3717842176,1253.8847699832
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritania,MRT,477.6989637745,464.1176670976,460.2809265218,527.0567664392,600.0620995386,694.3200827981,939.1557185818,1008.0240841531,1177.6699660313,1041.5817594017,1201.7973887151,1383.5877448649,1276.3396497018
GDP per capita (current US$),NY.GDP.PCAP.CD,"Yemen, Rep.",YEM,549.939901672,546.5362272087,576.4238636727,617.2411933895,707.3734731605,831.8795657878,923.5306472258,1210.1538343229,1400.5623023498,1280.2510806931,1357.7622735603,1333.6158608662,1344.7181303467
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,664.3606893453,681.6347622736,740.4455039267,905.1911489221,965.593078473,982.23142654,1007.8398369455,1133.4094891441,1326.6619458144,1305.1474639653,1311.3265646491,1309.00862559,1362.9486604266
GDP per capita (current US$),NY.GDP.PCAP.CD,South Asia,SAS,455.2309251274,459.4221943746,475.4972031082,545.8779935439,623.0371277841,703.0779289143,792.1303309088,989.2093076144,992.6210687012,1076.5573339849,1298.5544320217,1399.2536679367,1390.2816647076
GDP per capita (current US$),NY.GDP.PCAP.CD,Sao Tome and Principe,STP,550.1714471527,539.933866441,585.8063557648,687.0936869524,734.0353601333,797.1963075462,851.2390081351,882.9136216786,1090.4113825664,1134.1135930209,1127.9816671992,1355.4473444576,1399.9534833364
GDP per capita (current US$),NY.GDP.PCAP.CD,Lao PDR,LAO,321.289484059,323.3207343953,317.0602296341,360.0817870902,415.2222521477,472.4099409313,585.6383175055,702.273033908,886.7572095965,930.5911224377,1122.8523155894,1270.1763377147,1408.2799995013
GDP per capita (current US$),NY.GDP.PCAP.CD,Myanmar,MMR,..,..,..,..,..,..,..,..,..,..,..,..,1414.6727939422
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,457.2835417849,466.2141764824,486.6404540175,565.3354830391,649.7106478822,740.1142605892,830.1632212524,1068.6776346284,1042.0842092479,1147.2378790433,1417.0736138018,1503.3410719179,1481.2009121414
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,762.5408422845,780.1451222247,794.0556712904,823.8074726886,869.8001788741,912.4992044999,976.2929868462,1061.6370921233,1233.3111211798,1458.8737867706,1353.1930280729,1463.5922236392,1574.6289679088
GDP per capita (current US$),NY.GDP.PCAP.CD,Ghana,GHA,264.6926967703,275.4762701792,311.6396215489,375.9648656611,426.2635127591,501.8642947303,929.9008164095,1099.1385298742,1234.3885517302,1096.5034560551,1326.0892815733,1594.0840857976,1653.3535097929
